block_number,slot,block_datetime_utc,block_timestamp_unix,age_raw,age_seconds_at_scrape,blobs_count,blobs_percent,txn_count,fee_recipient,gas_used,gas_used_percent,gas_limit,base_fee_gwei,reward_eth,burnt_fees_eth,burnt_fees_percent,source_page,source_row,source_url,scraped_at_utc
24884235,14118359,2026-04-15T09:12:11+00:00,1776244331,16 hrs ago,57600,5,24,370,BuilderNet,58412924,97.35,60000000,0.052,0.01593,0.003071,16.16,50,79,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884236,14118360,2026-04-15T09:12:23+00:00,1776244343,16 hrs ago,57600,1,5,411,Titan Builder,58927629,98.21,60000000,0.058,0.01235,0.003465,21.91,50,78,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884237,14118361,2026-04-15T09:12:35+00:00,1776244355,16 hrs ago,57600,5,24,289,Titan Builder,27899046,46.5,60000000,0.065,0.00523,0.001838,25.99,50,77,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884238,14118362,2026-04-15T09:12:47+00:00,1776244367,16 hrs ago,57600,0,0,127,quasarbuilder,25428096,42.38,60000000,0.065,0.00197,0.001661,45.67,50,76,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884239,14118363,2026-04-15T09:12:59+00:00,1776244379,16 hrs ago,57600,6,29,502,Titan Builder,52954140,88.26,60000000,0.064,0.02787,0.003393,10.85,50,75,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884240,14118364,2026-04-15T09:13:11+00:00,1776244391,16 hrs ago,57600,1,5,144,quasarbuilder,14278338,23.8,60000000,0.07,0.00294,0.001002,25.39,50,74,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884241,14118365,2026-04-15T09:13:23+00:00,1776244403,16 hrs ago,57600,4,19,519,Titan Builder,41208264,68.68,60000000,0.065,0.01251,0.002703,17.77,50,73,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884242,14118366,2026-04-15T09:13:35+00:00,1776244415,16 hrs ago,57600,0,0,54,quasarbuilder,2901575,4.84,60000000,0.068,0.00097,0.000199,16.96,50,72,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884243,14118367,2026-04-15T09:13:47+00:00,1776244427,16 hrs ago,57600,12,57,433,Titan Builder,59987222,99.98,60000000,0.06,0.0144,0.003654,20.23,50,71,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884244,14118368,2026-04-15T09:13:59+00:00,1776244439,16 hrs ago,57600,0,0,358,BuilderNet,47595514,79.33,60000000,0.068,0.00943,0.003261,25.7,50,70,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
